vendor,cluster,use_case,type,valuation_usd_b,total_raised_usd_m,arr_usd_m,note
Sierra,Customer,Conversational Support,AI-native,15.8,,165,"Series E May 2026; total raised not cleanly disclosed"
Decagon,Customer,Conversational Support,AI-native,4.5,481,35,"Series D Jan 2026 (Coatue/Index)"
Ada,Customer,Conversational Support,AI-native,1.2,202,,"Series C 2021 (Tiger)"
Forethought,Customer,Conversational Support,acquired,0.11,117,,"acquired by Zendesk Mar 2026 below capital raised"
Crescendo,Customer,Conversational Support,BPO-hybrid,0.5,50,,"Series C Oct 2024; acquired PartnerHero"
Maven AGI,Customer,FAQ / Deflection,AI-native,,78,,"Series B Jun 2025"
Mindtrip,Customer,Travel Booking,AI-native,,22.5,,"Series B Dec 2025 (Amex/CapOne/United)"
Botpress,Customer,Messaging Chatbot,AI-native,0.12,25,,"Series B Jun 2025"
Canva,Creative,Ad / Creative Production,incumbent,42.0,,3500,"$42B secondary Aug 2025; ~$3.3-4B ARR"
HeyGen,Creative,Video,AI-native,0.5,74,,"Series A Jun 2024 (Benchmark)"
Synthesia,Creative,Video,AI-native,2.1,330,,"Series D Jan 2025 (NEA)"
Runway,Creative,Video,AI-native,,,84,"$84M ARR 2024 (+236% YoY)"
Descript,Creative,Video,AI-native,0.55,100,55,"~$55M ARR late 2024"
Jasper,Creative,Marketing Content,AI-native,1.5,131,80,"$1.5B 2022; ARR fell post-LLM"
Writer,Creative,Marketing Content,AI-native,1.9,326,,"$200M Series C at $1.9B"
Typeface,Creative,Marketing Content,AI-native,,265,,"$100M Series B"
Bynder,Creative,Brand / DAM,incumbent,,,100,"PE-owned; $100M ARR 2022"
CodeRabbit,Code,AI Code Review,AI-native,0.55,88,15,"$60M Series B Sep 2025; ~$550M post"
Greptile,Code,AI Code Review,AI-native,,25,,"Series A (Benchmark)"
Qodo,Code,AI Code Review,AI-native,,120,,"$70M Series B"
Graphite,Code,AI Code Review,AI-native,,52,,"Series B (Accel)"
Mechanical Orchard,Code,Legacy Modernization,AI-native,,80,,"GV-led; Global-2000 focus"
OutSystems,Code,Low-code Escape,incumbent,9.5,,,"$9.5B (2021); $100M+ rev"
Retool,Code,Low-code Escape,incumbent,3.2,,138.6,"$138.6M ARR"
Augury,Data,Predictive Ops,AI-native,1.0,361,,"Series F Feb 2025 (>$1B)"
Glean,Employee,Enterprise Search,AI-native,7.2,,300,"$7.2B; $300M ARR"
Harvey,Employee,Legal Research,AI-native,11.0,,300,"$11B; $300M ARR; $1,200-2,000/seat"
Legora,Employee,Legal Research,AI-native,,,100,"Nvidia-backed; valuation disputed in sources"
Spellbook,Employee,Legal Research,AI-native,0.35,,,"~4,500 customers"
Cresta,Employee,Contact-Center Agent-Assist,AI-native,1.0,282,,"~$1B val"
Observe.AI,Employee,Contact-Center Agent-Assist,AI-native,,213,,"100-seat min; $60-180K/yr"
Prophet Security,Security,SIEM Tier-1,AI-native,,30,,"Series A Jul 2025 (Accel)"
Dropzone AI,Security,SIEM Tier-1,AI-native,,57,,"$37M Series B Jul 2025 (Theory)"
Radiant Security,Security,SIEM Tier-1,AI-native,,15,,"Series A Nov 2023 (Next47)"
Tines,Security,SOAR,AI-native,1.125,272,,"$125M Series C Feb 2025"
Sardine,Security,Fraud,AI-native,,145,,"$70M Series C Feb 2025 (Activant)"
Feedzai,Security,Fraud,AI-native,2.0,356,,"founded 2011; $9T payments secured"
Unit21,Security,Fraud,AI-native,,92,,"$45M Series C Jun 2023"
Vanta,Security,GRC,AI-native,4.15,500,300,"$4.15B Jul 2025; $300M ARR; 16,000+ customers"
Drata,Security,GRC,AI-native,2.0,328,,"$2B (Series C Dec 2022); 8,000+ customers"
Sprinto,Security,GRC,AI-native,,32,,"$20M Series B Apr 2024"
RegScale,Security,GRC,AI-native,,50,,"Series B Sep 2025; CCM/compliance-as-code"
