Wedge,Company,Contact / Role,Status,Signal / Why,Competing tool they used,Source URL
CPQ,FS-Curtis,(98-person US air-compression mfr),Already switched (proof),Left Salesforce CPQ — too complex for the business,Sculptor CPQ,https://sculptor.cloud/success-stories/sculptor-cpq-for-manufacturing-fs-curtis
CPQ,Telent,—,Already switched (proof),servicePath case study — cut quote time 90%,servicePath,https://servicepath.co/2025/08/salesforce-cpq-end-of-sale-migration-servicepath-alternative-costs-risks-the-future-proof-path/
CPQ,Dell EMC,—,Already switched (proof),servicePath case study — cut quote time 98%,servicePath,https://servicepath.co/2025/08/salesforce-cpq-end-of-sale-migration-servicepath-alternative-costs-risks-the-future-proof-path/
CPQ,Max Rudman (Prodly CEO / SteelBrick founder),CEO,Influencer (not a prospect),"Quoted: Revenue Cloud $200/user/mo ""out of reach for mid-market""",—,https://servicepath.co/2025/08/salesforce-cpq-end-of-sale-migration-servicepath-alternative-costs-risks-the-future-proof-path/
SOAR,Check Point,Jonathan Fischbein (CISO),Already switched (proof),Bypassed legacy SOAR; SOC 30-40% understaffed,Torq HyperSOC,https://www.techtarget.com/searchsecurity/feature/How-AI-driven-SOC-tech-eased-alert-fatigue-Case-study
SOAR,Mars,Gregory Poniatowski (Dir. Cyber Threat & Vuln),Already switched (proof),200 Phantom playbooks -> 50 Tines; 1-engineer dependency,Splunk Phantom -> Tines,https://engineering.tines.com/case-studies/mars/
SOAR,Carvana / Valvoline / RSM / Lennar / Deepwatch,—,Already switched (proof),Named Torq switchers (Valvoline ROI in 48h; RSM 200+ MSSP customers),legacy SOAR -> Torq,https://torq.io/blog/soar-replacement-2026/
SOAR,AHEAD,Chase Hood (Security Engineering Lead),Already switched (proof),MSSP; 30% alert reduction,Swimlane Turbine,https://swimlane.com/blog/how-ahead-enhanced-secops-efficiency-with-low-code-security-automation/
SOAR,Soterics,Amine Besson (Industrial MDR Lead),Already switched (proof),MSSP scaling without analyst-linear cost,Tines,http://tines.com/case-studies/soterics/
SIEM,ZainTECH (Jordan),Managed SOC,LIVE PROSPECT,Actively hiring Tier-1 SOC analysts (2026-06-25) = drowning in alerts,(hiring),https://www.bayt.com/en/jordan/jobs/soc-analyst-tier-1-managed-soc-74785963/
SIEM,JB Poindexter & Co,(8500-employee diversified mfr),Already switched (proof),Prophet AI: 4407 investigations in 60 days,Prophet AI,https://www.bleepingcomputer.com/news/security/why-more-analysts-wont-solve-your-socs-alert-problem/
SIEM,Cabinetworks,—,Already switched (proof),Prophet AI: 3200 alerts/33 days; 90% SIEM-cost cut,Prophet AI,https://www.bleepingcomputer.com/news/security/why-more-analysts-wont-solve-your-socs-alert-problem/
Legal,Hanson Bridgett,Laura Long (COO/CFO),LIVE PROSPECT,Openly deciding Claude vs Harvey/Legora right now,evaluating,https://www.law.com/legaltechnews/2026/06/17/how-hanson-bridgett-is-using-claude-firmwide-/
Legal,Schenck Price,John Ursin (Managing Partner),LIVE PROSPECT,100-atty firm investing heavily in legal AI adoption,Lexis+ Protege,https://www.lexisnexis.com/community/pressroom/b/news/posts/schenck-price-competes-smarter-with-lexis-with-protege
Legal,Cuatrecasas,—,Already switched (proof),1900 lawyers / 26 offices on Harvey (80% daily use),Harvey,https://theapplied.co/use-cases/how-cuatrecasas-uses-harvey-to-transform-legal-work-across-26-offices
Legal,Ballard Spahr,—,Already switched (proof),Azure OpenAI; cut research time 60%; $2M saved,Azure OpenAI,https://www.microsoft.com/en/customers/story/24650-ballard-spahr-azure-openai
Legal,Freshfields,—,Already switched (proof),Anthropic + rebuilt CoCounsel; Claude across 5700 staff,Anthropic/CoCounsel,https://www.aivortex.io/legal/guides/anthropic-thomson-reuters-cocounsel-rebuild-power-shift/
Low-code,Finbridge,(regulated fintech),Already switched (proof),Off OutSystems in 10 weeks for AI-native data plane,OutSystems -> custom,https://www.doddledesign.co.uk/insights/finbridge-migration
Low-code,CARU Containers,Andrew Berlanga (PM),Already switched (proof),OutSystems -> Mendix after 2 yrs,OutSystems -> Mendix,https://www.mendix.com/customer-stories/transforming-global-logistics-by-migrating-to-a-custom-mendix-erp-in-10-months/
Low-code,IGLU / PayWise,—,Counter-example (do NOT pitch),Happily ON OutSystems at maturity — qualify OUT,OutSystems (kept),https://www.doddledesign.co.uk/insights/paywise-two-years-on
IDP/AP,Raney's Truck Parts (Ocala FL),Eric Anderson (Co-founder),Already switched (proof),OpenEnvoy; 100% suppliers digitized in 60 days,OpenEnvoy,https://openenvoy.com/case-study/raneys-ap-digitization-100-percent-suppliers-60-days
IDP/AP,Imperial Dade,—,Already switched (proof),100+ locations; Rossum; invoice time 7-10d -> 1d,Rossum,https://rossum.ai/solutions/wholesale-distribution-software/
IDP/AP,Quest Window Systems,Julie Sue (AP Champion),Already switched (proof),MetaViewer; 30% AP staff reduction,MetaViewer,https://www.metaviewer.com/seeing-clearly-through-the-pane-how-quest-window-systems-transformed-ap-with-automation
IDP/AP,Birmingham Fastener,Diane Early (Dir. Corp Accounting),Already switched (proof),Esker; tripled in size; couldn't hire fast enough,Esker,https://www.enlighten.net/wp-content/uploads/2025/11/034-Esker-Accounts-Payable-Customer-Story-Birmingham-Fastener-EN.pdf
IDP/AP,Hornady Manufacturing,Carla Nolan (Dir. Financial Ops),Already switched (proof),Esker; chose software over adding AP headcount,Esker,https://www.eskersolution.ca/blog/accounts-payable/hornadyr-manufacturing-company-customer-story/
